AWC,CTC,CVC,SUBJECT,Time
33.2,2.4,5,426,18.05
6.56603773584906,0.679245283018868,4.52830188679245,426,19.25
47.6,1.6,3.6,426,8.5
29,1,3.6,426,8.55
11.4,0.4,1.6,426,9
8.6,0,0,426,9.05
14.4,0.4,1.8,426,9.1
3.2,0.2,1,426,9.3
4.2,0.2,0.8,426,9.4
4.45945945945946,0.405405405405405,1.62162162162162,426,13.1
26.9594594594595,2.43243243243243,9.12162162162162,426,13.3
31.7910447761194,1.56716417910448,3.13432835820895,426,13.35
13,0.6,3.6,426,13.4
28.8,1.8,5.4,426,13.5
17.6,0.6,4.4,426,14
1.2,0.2,3.2,426,14.05
22.6,2,5.2,426,14.1
13.8,0.4,1.6,426,14.2
12,0.8,3.6,426,14.25
9.32270916334661,1.67330677290837,4.7808764940239,426,14.3
16.2,0.4,2.4,426,16.25
7.2,0.2,2.8,426,16.3
9.2,0,1,426,16.35
13.4,1.2,7.2,426,16.5
13.4,1.4,4.2,426,19.25
13.4,1.2,7.4,426,19.5
7,0.4,0.6,426,20
14,0.6,1.6,426,20.1
17,1.8,4.4,426,20.15
4.8,0.6,2.6,426,20.2
16.2,2.2,9.2,426,20.3
4,0.8,5.2,426,20.35
