"Lastname","Firstname","Birthdate","Age","Sex","Date","Time","RecTime","Duration","Meaningful","Distant","TV","Noise","Silence","AWC","CTC","CVC","EXCLUDE","DNL","LogbookNaps","AWCNaps","Sleep","Over/Under","Other Lang","ChAd","ChAdChs","ChPpl","ChChs","ChAdPet","Ads","Chs","AdChs","ChAlone","ADS","CDS","Child-Centered","Reading","Meal","Routine","Play/Games","Misc.","Food","Media","Other Child","Books","Comments"
334,"HABLA2",2017-01-14,"14m; 16d","F",2018-03-30,1899-12-31 17:25:00,0,14,1899-12-31 00:00:10,1899-12-31 00:00:04,1899-12-31 00:00:00,1899-12-31 00:00:00,1899-12-31 00:00:00,39,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"instructing parent on how to use LENA"
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 14:30:00,14,143,1899-12-31 00:00:25,1899-12-31 00:00:11,1899-12-31 00:00:14,1899-12-31 00:00:03,1899-12-31 00:01:30,49,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mom puts lena in shirt, puts shirt on child. Child is awake, its breakfast time"
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 14:35:00,157,300,1899-12-31 00:00:55,1899-12-31 00:00:12,1899-12-31 00:00:22,1899-12-31 00:00:10,1899-12-31 00:03:21,94,7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 14:40:00,457,300,1899-12-31 00:00:26,1899-12-31 00:00:46,1899-12-31 00:00:03,1899-12-31 00:00:29,1899-12-31 00:03:16,17,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 14:45:00,757,300,1899-12-31 00:00:13,1899-12-31 00:01:28,1899-12-31 00:00:21,1899-12-31 00:00:53,1899-12-31 00:02:05,12,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 14:50:00,1057,300,1899-12-31 00:00:48,1899-12-31 00:01:40,1899-12-31 00:00:09,1899-12-31 00:01:47,1899-12-31 00:00:36,20,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 14:55:00,1357,300,1899-12-31 00:00:37,1899-12-31 00:01:24,1899-12-31 00:00:00,1899-12-31 00:00:46,1899-12-31 00:02:13,40,5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:00:00,1657,300,1899-12-31 00:00:19,1899-12-31 00:01:01,1899-12-31 00:00:00,1899-12-31 00:02:09,1899-12-31 00:01:31,6,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:05:00,1957,300,1899-12-31 00:00:31,1899-12-31 00:01:47,1899-12-31 00:00:04,1899-12-31 00:02:06,1899-12-31 00:00:32,28,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:10:00,2257,300,1899-12-31 00:01:21,1899-12-31 00:01:14,1899-12-31 00:00:02,1899-12-31 00:01:28,1899-12-31 00:00:55,34,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:15:00,2557,300,1899-12-31 00:01:21,1899-12-31 00:01:44,1899-12-31 00:00:00,1899-12-31 00:00:07,1899-12-31 00:01:48,162,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:20:00,2857,300,1899-12-31 00:00:47,1899-12-31 00:00:52,1899-12-31 00:00:01,1899-12-31 00:01:02,1899-12-31 00:02:18,91,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mom is on the phone, child is awake."
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:25:00,3157,300,1899-12-31 00:00:43,1899-12-31 00:01:39,1899-12-31 00:00:02,1899-12-31 00:02:08,1899-12-31 00:00:28,73,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:30:00,3457,300,1899-12-31 00:00:26,1899-12-31 00:01:39,1899-12-31 00:00:09,1899-12-31 00:01:01,1899-12-31 00:01:45,55,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:35:00,3757,300,1899-12-31 00:01:24,1899-12-31 00:02:00,1899-12-31 00:00:05,1899-12-31 00:00:42,1899-12-31 00:00:49,115,7,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:40:00,4057,300,1899-12-31 00:01:08,1899-12-31 00:01:43,1899-12-31 00:00:00,1899-12-31 00:01:47,1899-12-31 00:00:22,22,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:45:00,4357,300,1899-12-31 00:01:27,1899-12-31 00:00:18,1899-12-31 00:00:00,1899-12-31 00:00:18,1899-12-31 00:02:57,225,14,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:50:00,4657,300,1899-12-31 00:01:55,1899-12-31 00:00:13,1899-12-31 00:00:00,1899-12-31 00:00:34,1899-12-31 00:02:18,403,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"HABLA2",2017-01-14,"15m; 1d","F",2018-04-15,1899-12-31 15:55:00,4957,300,1899-12-31 00:01:40,1899-12-31 00:00:35,1899-12-31 00:00:07,1899-12-31 00:00:11,1899-12-31 00:02:27,309,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
