AWC,CTC,CVC,SUBJECT,Time
1.4,0.2,0.8,13131,7.15
0.8,0.2,3.2,13131,7.2
6.8,0.2,1.8,13131,7.25
4,0.2,3,13131,7.3
5.2,0.6,5.2,13131,7.35
7.2,0.6,2.2,13131,7.5
4.4,0.2,1.6,13131,7.55
2.4,0.2,1.2,13131,8.05
22,1.2,1.4,13131,8.1
12.6,1.4,4.2,13131,8.15
1.6,0.2,2.2,13131,8.25
3,0.2,3.2,13131,8.35
0.4,0.2,3.2,13131,8.4
2.6,0.2,1.2,13131,8.45
3.8,0.2,3.2,13131,8.55
3.4,0.2,4.6,13131,9
5.6,0.2,3.8,13131,9.05
3.2,0.6,3.4,13131,9.1
5.8,0.4,3.2,13131,9.15
1,0,1.8,13131,9.2
1.4,0.2,2.4,13131,9.3
2.2,0.4,6.6,13131,9.35
1.8,0,2.2,13131,9.4
1.4,0,3.2,13131,9.45
11.8,0.4,2.8,13131,9.5
5,0.2,3.2,13131,9.55
4.6,1,5.6,13131,10
0.6,0,0.2,13131,10.05
1.6,0,1.6,13131,10.1
4,0.4,3.4,13131,10.15
2.4,0,2.8,13131,10.2
4.6,0,0,13131,10.45
3.6,0,0.8,13131,10.5
13.2,0.4,2.8,13131,10.55
2.6,0.2,2.4,13131,11
1.8,0.2,2.6,13131,11.05
3.6,0.6,2.8,13131,11.1
18.2,1.4,6.4,13131,11.15
14.4,0.2,4.8,13131,11.2
0.8,0.2,0.8,13131,11.4
21.4,2.8,6.2,13131,11.5
9.6,0.6,3,13131,11.55
11,0.8,2.6,13131,12
38,0,1.8,13131,12.15
27.6,1.6,4,13131,12.2
20,1,3.8,13131,12.25
3.2,0.4,3.4,13131,15.1
16,0.2,1.6,13131,15.15
4.8,0.8,2,13131,15.2
1.6,0.2,0.6,13131,15.3
0.6,0,2,13131,15.35
0.6,0,1.2,13131,15.4
1.4,0,0,13131,15.45
4,0.2,0.6,13131,15.5
10,0.4,1.6,13131,16
1.6,0,1,13131,16.05
1.6,0,0,13131,16.1
6.2,0.4,2,13131,16.15
4,0,2,13131,16.2
7.6,0,0.6,13131,16.4
4.8,0,0.4,13131,16.5
1.8,0.4,0.8,13131,17
4.8,0,0.4,13131,17.15
6.4,0,0.4,13131,17.35
14.6,1,8.2,13131,18.05
4.8,0,2.4,13131,18.1
4.6,0.2,3.8,13131,18.15
8.4,0,2.4,13131,18.35
1.4,0,1.4,13131,18.4
6.2,0,0,13131,18.5
1.2,0.2,0.4,13131,18.55
15,0.4,0.6,13131,19
0,0,1.8,13131,19.05
6.8,0,0.4,13131,19.1
3.2,0,0,13131,19.2
15,0,0.4,13131,19.25
9.2,0,0.2,13131,19.35
9.8,0,0.4,13131,19.4
9.6,0,0,13131,19.45
